"sync_type","folder","started_at","completed_at","emails_synced"
"full","Inbox","2026-03-12T09:15:15Z","2026-03-12T10:02:24Z","44804"
"full","SentItems","2026-03-12T10:02:24Z","2026-03-12T10:28:40Z","33331"
